"id";"level";"dump_id";"detect_time";"updated_at";"device_id";"access_point_id";"short_event_id";"created_at"
"1 meter"
35769026;54;41593;"2014-03-17 16:32:17";"2014-03-17 17:14:54.963055";1821;17;7011455;"2014-03-17 17:13:12.436321"
35769027;54;41593;"2014-03-17 16:32:17";"2014-03-17 17:14:54.965421";1821;17;7011455;"2014-03-17 17:13:12.43848"
35769028;55;41593;"2014-03-17 16:32:18";"2014-03-17 17:14:54.967857";1821;17;7011455;"2014-03-17 17:13:12.44021"
35769029;54;41593;"2014-03-17 16:32:18";"2014-03-17 17:14:54.970072";1821;17;7011455;"2014-03-17 17:13:12.441694"
35769030;72;41593;"2014-03-17 16:32:18";"2014-03-17 17:14:54.972927";1821;17;7011455;"2014-03-17 17:13:12.443204"
35769031;74;41593;"2014-03-17 16:32:18";"2014-03-17 17:14:54.975576";1821;17;7011455;"2014-03-17 17:13:12.444879"
35769032;55;41593;"2014-03-17 16:32:20";"2014-03-17 17:14:54.978309";1821;17;7011455;"2014-03-17 17:13:12.446639"
35769033;56;41593;"2014-03-17 16:32:20";"2014-03-17 17:14:54.980768";1821;17;7011455;"2014-03-17 17:13:12.448532"
35769034;56;41593;"2014-03-17 16:32:20";"2014-03-17 17:14:54.98323";1821;17;7011455;"2014-03-17 17:13:12.450249"
35769035;55;41593;"2014-03-17 16:32:20";"2014-03-17 17:14:54.985645";1821;17;7011455;"2014-03-17 17:13:12.452156"
35769036;71;41593;"2014-03-17 16:32:21";"2014-03-17 17:14:54.988161";1821;17;7011455;"2014-03-17 17:13:12.453797"
35769037;74;41593;"2014-03-17 16:32:21";"2014-03-17 17:14:54.990801";1821;17;7011455;"2014-03-17 17:13:12.455632"
35769038;55;41593;"2014-03-17 16:32:23";"2014-03-17 17:14:54.993219";1821;17;7011455;"2014-03-17 17:13:12.457553"
35769039;53;41593;"2014-03-17 16:32:23";"2014-03-17 17:14:54.995511";1821;17;7011455;"2014-03-17 17:13:12.459183"
35769040;74;41593;"2014-03-17 16:32:23";"2014-03-17 17:14:54.998043";1821;17;7011455;"2014-03-17 17:13:12.460684"
35769041;74;41593;"2014-03-17 16:32:24";"2014-03-17 17:14:55.000618";1821;17;7011455;"2014-03-17 17:13:12.462171"
35769046;72;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.013087";1821;17;7011455;"2014-03-17 17:13:12.471024"
35769042;55;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.003019";1821;17;7011455;"2014-03-17 17:13:12.463722"
35769043;54;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.005552";1821;17;7011455;"2014-03-17 17:13:12.466065"
35769044;54;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.008161";1821;17;7011455;"2014-03-17 17:13:12.467738"
35769045;53;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.010677";1821;17;7011455;"2014-03-17 17:13:12.469475"
35769047;72;41593;"2014-03-17 16:32:26";"2014-03-17 17:14:55.01545";1821;17;7011455;"2014-03-17 17:13:12.472159"
35769049;56;41593;"2014-03-17 16:32:29";"2014-03-17 17:14:55.020638";1821;17;7011455;"2014-03-17 17:13:12.475205"
35769048;57;41593;"2014-03-17 16:32:29";"2014-03-17 17:14:55.01812";1821;17;7011455;"2014-03-17 17:13:12.473702"
35769050;57;41593;"2014-03-17 16:32:29";"2014-03-17 17:14:55.022955";1821;17;7011455;"2014-03-17 17:13:12.476724"
35769051;56;41593;"2014-03-17 16:32:29";"2014-03-17 17:14:55.025276";1821;17;7011455;"2014-03-17 17:13:12.47839"
35769052;75;41593;"2014-03-17 16:32:29";"2014-03-17 17:14:55.027691";1821;17;7011455;"2014-03-17 17:13:12.48001"
35769053;56;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.040603";1821;17;7011456;"2014-03-17 17:13:12.48163"
35769054;56;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.043842";1821;17;7011456;"2014-03-17 17:13:12.483062"
35769055;57;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.045811";1821;17;7011456;"2014-03-17 17:13:12.485011"
35769056;58;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.048344";1821;17;7011456;"2014-03-17 17:13:12.486713"
35769057;58;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.050763";1821;17;7011456;"2014-03-17 17:13:12.488156"
35769058;73;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.053063";1821;17;7011456;"2014-03-17 17:13:12.489678"
35769059;73;41593;"2014-03-17 16:32:40";"2014-03-17 17:14:55.055293";1821;17;7011456;"2014-03-17 17:13:12.491142"
35769060;53;41593;"2014-03-17 16:32:50";"2014-03-17 17:14:55.066907";1821;17;7011457;"2014-03-17 17:13:12.49243"
35769061;55;41593;"2014-03-17 16:32:50";"2014-03-17 17:14:55.069435";1821;17;7011457;"2014-03-17 17:13:12.494003"
35769062;52;41593;"2014-03-17 16:32:50";"2014-03-17 17:14:55.071801";1821;17;7011457;"2014-03-17 17:13:12.495489"
35769063;72;41593;"2014-03-17 16:32:50";"2014-03-17 17:14:55.075129";1821;17;7011457;"2014-03-17 17:13:12.497184"
35769064;74;41593;"2014-03-17 16:32:50";"2014-03-17 17:14:55.078342";1821;17;7011457;"2014-03-17 17:13:12.498873"
"16 step"
35769066;52;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.093893";1821;17;7011458;"2014-03-17 17:13:12.502269"
35769065;52;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.091089";1821;17;7011458;"2014-03-17 17:13:12.500537"
35769067;51;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.09616";1821;17;7011458;"2014-03-17 17:13:12.503829"
35769068;52;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.098968";1821;17;7011458;"2014-03-17 17:13:12.505297"
35769069;54;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.101546";1821;17;7011458;"2014-03-17 17:13:12.507027"
35769070;69;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.103798";1821;17;7011458;"2014-03-17 17:13:12.508717"
35769071;71;41593;"2014-03-17 16:33:00";"2014-03-17 17:14:55.10588";1821;17;7011458;"2014-03-17 17:13:12.510265"
35769073;51;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.121368";1821;17;7011459;"2014-03-17 17:13:12.513215"
35769076;54;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.129083";1821;17;7011459;"2014-03-17 17:13:12.518934"
35769072;50;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.118965";1821;17;7011459;"2014-03-17 17:13:12.51177"
35769074;49;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.123718";1821;17;7011459;"2014-03-17 17:13:12.514754"
35769075;50;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.126688";1821;17;7011459;"2014-03-17 17:13:12.517229"
35769077;53;41593;"2014-03-17 16:33:04";"2014-03-17 17:14:55.131381";1821;17;7011459;"2014-03-17 17:13:12.521251"
35769080;52;41593;"2014-03-17 16:33:06";"2014-03-17 17:14:55.139438";1821;17;7011459;"2014-03-17 17:13:12.526061"
35769078;55;41593;"2014-03-17 16:33:06";"2014-03-17 17:14:55.133663";1821;17;7011459;"2014-03-17 17:13:12.522865"
35769079;52;41593;"2014-03-17 16:33:06";"2014-03-17 17:14:55.136663";1821;17;7011459;"2014-03-17 17:13:12.524519"
